query_id,ref_id,channel,raw_query,predicted_category,confidence_score,confidence_tier,urgent_override,action,effective_priority,sla_first_response,sla_resolution,auto_reply,conversation_turns,ticket_id,timestamp
Q001,REF-C2AD30,WhatsApp,Where is my order #45231? It was supposed to arrive yesterday!,Order Status,0.6522,High,False,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-C2AD30. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:44.888399
Q002,REF-054E36,WhatsApp,My payment failed but money was deducted from my account URGENT,Payment Issue,0.6924,High,True,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

We're sorry to hear about the payment issue you've experienced. Our payment team has been alerted and is investigating this urgently. If an amount was deducted, it will be automatically refunded within 3-5 business days. Your transaction reference will be shared via email within 2 hours.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:44.889296
Q003,REF-F9A603,Email,I want a refund for my damaged product please.,Refund Request,0.5932,High,False,Auto-Reply,Medium,4h,24h,"Dear Customer,

Thank you for reaching out via email.

We have successfully received your refund request (Reference: REF-F9A603). Your refund of the debited amount will be credited to your original payment method within 5-7 business days. You will receive a confirmation email once the refund has been initiated.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:44.890024
Q004,REF-824EB9,Website Chat,Do you offer free shipping on orders above 500?,General Inquiry,0.6632,High,False,Auto-Reply,Low,24h,72h,"Hello! Thanks for contacting us on our website.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: Do you offer free shipping?
A: Yes, we offer free shipping on eligible orders above the minimum cart value shown at checkout.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:44.890661
Q005,REF-ECBC3E,Instagram DM,Product delivered was completely wrong. I got someone else order.,Product Complaint,0.2637,Low,False,Human Escalation,High,1h,4h,"Hey! Thanks for DMing us on Instagram.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-ECBC3E.

Feel free to DM us anytime.",0,TKT-B1A20E43,2026-03-21T21:27:44.894441
Q006,REF-D6CE66,WhatsApp,kya aap mujhe delivery date bata sakte hain?,Delivery Delay,0.2192,Low,False,Human Escalation,Low,24h,72h,"Hi! Thanks for messaging us on WhatsApp.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-D6CE66.

Reply anytime - we're here 24/7.",0,TKT-F8671EEC,2026-03-21T21:27:44.898666
Q001,REF-51785E,WhatsApp,Where is my order? It was supposed to arrive yesterday.,Order Status,0.6661,High,False,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-51785E. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:44.903295
Q002,REF-02A616,Email,Can you tell me the current status of order #45231?,Order Status,0.6452,High,False,Auto-Reply,Medium,4h,24h,"Dear Customer,

Thank you for reaching out via email.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-02A616. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:44.904169
Q003,REF-203762,Instagram DM,My package hasn't arrived yet. Order number is 78902.,Delivery Delay,0.2708,Low,False,Human Escalation,High,1h,4h,"Hey! Thanks for DMing us on Instagram.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-203762.

Feel free to DM us anytime.",0,TKT-6A8F0EB4,2026-03-21T21:27:44.906846
Q004,REF-6A271D,Website Chat,Track my order please. Order ID: ORD-2024-00198.,Order Status,0.5914,High,False,Auto-Reply,Medium,4h,24h,"Hello! Thanks for contacting us on our website.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-6A271D. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:44.908384
